"isbn","PriceBarnesNoble","PriceAmazon"
1582970025,13.77,18.68
137490860,42.4,57.62
195126742,13.73,13.35
877797145,47.7,35.79
843713828,42.35,32.25
528838717,31.75,25.25
1558508163,11.61,13.05
517408791,10.59,15.28
785213783,21.19,20.28
310903947,26.49,24.28
826408192,37.05,39.24
827604033,37.1,20.25
876682913,37.1,32.29
1570032645,23.32,39.24
687056225,38.11,44.29
195087240,21.15,34.29
879758236,20.09,19.45
451408063,6.35,9.08
373483422,6.35,9.08
505523116,6.35,9.08
451200403,5.29,8.28
515114693,7.95,10.29
821752499,7.41,9.88
553562797,7.41,9.88
380809087,6.35,9.08
684818221,14.84,15.49
62731009,15.9,15.24
679408525,20.14,19.49
874779537,13.73,14.65
198506147,31.8,25.29
932813194,17.97,17.85
70524270,19.03,22.24
521446635,25.39,29.24
345303067,7.41,9.88
671878905,7.41,9.88
156002086,13.78,14.69
345394429,10.6,12.29
312867395,15.85,16.25
312890338,13.73,14.65
812555112,7.41,9.88
